NAME,LABEL,SHORTLABEL,STATUS,DESIGNATION_DATE,EDIT_DATE,UNIQUEID,GIS_ID,OBJECTID,SHAPEAREA,SHAPELEN
True Reformer Building,True Reformer Building,True Reformer,Designated,,2006/12/29 05:00:00+00,L_0032,,200566,0,0
Prince Hall Masonic Temple,Prince Hall Masonic Temple,Prince Hall Temple,Designated,,2006/12/29 05:00:00+00,L_0033,,200567,0,0
Whitehaven (Thomas Main House),Whitehaven,Whitehaven,Designated,,2006/12/29 05:00:00+00,L_0034,,200568,0,0
"Terrell, Mary Church, House",Mary Church Terrell House,Terrell House,Designated,,2006/12/29 05:00:00+00,L_0036,,200569,0,0
Southern Aid Society Building (Dunbar Theater),Southern Aid/Dunbar Theater,Southern Aid Bldg,Designated,,2006/12/29 05:00:00+00,L_0037,,200570,0,0
Howard Theatre,Howard Theatre,Howard Theatre,Designated,,2006/12/29 05:00:00+00,L_0039,,200571,0,0
Whitelaw Hotel,Whitelaw Hotel,Whitelaw Hotel,Designated,,2006/12/29 05:00:00+00,L_0040,,200572,0,0
Japanese Embassy,Japanese Embassy,Japanese Embassy,Designated,,2006/12/29 05:00:00+00,L_0041,,200573,0,0
"Thomas, Alma House",Alma Thomas House,Thomas House,Designated,,2006/12/29 05:00:00+00,L_0042,,200574,0,0
"Bowen, Anthony YMCA (Twelfth St. YMCA)",Anthony Bowen YMCA,Bowen YMCA,Designated,,2006/12/29 05:00:00+00,L_0043,,200575,0,0
Dougall House,Dougall House,Dougall Hse,Designated,,2006/12/29 05:00:00+00,L_0044,,200576,0,0
"Wilson, Woodrow House",Woodrow Wilson House,Wilson House,Designated,,2006/12/29 05:00:00+00,L_0045,,200577,0,0
"Hauge, Christian, House (Cameroon Embassy)",Hauge House,Hauge House,Designated,,2006/12/29 05:00:00+00,L_0046,,200578,0,0
Scottish Rite Temple,Scottish Rite Temple,Scottish Rite Temp,Designated,,2006/12/29 05:00:00+00,L_0047,,200579,0,0
Friends Meeting House,Friends Meeting House,Friends Meeting,Designated,,2006/12/29 05:00:00+00,L_0048,,200580,0,0
"Crummell, Alexander School",Crummell School,Crummell School,Designated,,2006/12/29 05:00:00+00,L_0049,,200581,0,0
Codman-Davis House,Codman-Davis House,Codman-Davis Hse,Designated,,2006/12/29 05:00:00+00,L_0050,,200582,0,0
Scott-Grant House,Scott-Grant House,Scott-Grant Hse,Designated,,2006/12/29 05:00:00+00,L_0051,,200583,0,0
Western High School (Duke Ellington School of the Arts),Western High School,Western HS,Designated,,2006/12/29 05:00:00+00,L_0052,,200584,0,0
Mackall-Worthington House,Mackall-Worthington House,Mackall-W'ton Hse,Designated,,2006/12/29 05:00:00+00,L_0053,,200585,0,0
"Page, Thomas Nelson, House",Thomas Nelson Page House,Page House,Designated,,2006/12/29 05:00:00+00,L_0054,,200586,0,0
Lincoln Congregational Temple United Church of Christ,Lincoln Temple Church,Lincoln Temple Ch,Designated,,2006/12/29 05:00:00+00,L_0055,,200587,0,0
"Hughes, Charles Evans House (Chancery of Burma)",Charles Evans Hughes House,Hughes House,Designated,,2006/12/29 05:00:00+00,L_0056,,200588,0,0
"Beale, Joseph House (Egyptian Embassy)",Beale House (Egyptian Embassy),Beale House,Designated,,2006/12/29 05:00:00+00,L_0057,,200589,0,0
"Fraser, George S., House",Fraser Mansion,Fraser Mansion,Designated,,2006/12/29 05:00:00+00,L_0058,,200590,0,0
"Belmont, Perry House (International Eastern Star Temple)",Perry Belmont House,Belmont House,Designated,,2006/12/29 05:00:00+00,L_0059,,200591,0,0
Beall-Washington House (Dunbarton),Dunbarton,Dunbarton,Designated,,2006/12/29 05:00:00+00,L_0060,,200592,0,0
Mackall Square,Mackall Square,Mackall Square,Designated,,2006/12/29 05:00:00+00,L_0061,,200593,0,0
Barney Studio House (and Interiors),Barney Studio House,Barney House,Designated,,2006/12/29 05:00:00+00,L_0062,,200594,0,0
"Phillips Collection (Duncan Phillips House; Phillips Memorial Gallery)",Phillips Collection,Phillips Collection,Designated,,2006/12/29 05:00:00+00,L_0063,,200595,0,0
Williams-Addison House,Williams-Addison House,Wms-Addison Hse,Designated,,2006/12/29 05:00:00+00,L_0064,,200596,0,0
Evermay (Samuel Davidson House),Evermay,Evermay,Designated,,2006/12/29 05:00:00+00,L_0065,,200597,0,0
Tudor Place,Tudor Place,Tudor Place,Designated,,2006/12/29 05:00:00+00,L_0066,,200598,0,0
"Cairo, The",The Cairo,The Cairo,Designated,,2006/12/29 05:00:00+00,L_0067,,200599,0,0
"Lafayette, The",The Lafayette,The Lafayette,Designated,,2006/12/29 05:00:00+00,L_0068,,200600,0,0
"Castle Gatehouse, Georgetown Reservoir ",Castle Gatehouse,Castle Gatehouse,Designated,,2006/12/29 05:00:00+00,L_0069,,200601,0,0
"Whittemore, Sarah Adams, House (Weeks House; Woman's National Democratic Club)",Whittemore House,Whittemore Hse,Designated,,2006/12/29 05:00:00+00,L_0070,,200602,0,0
"Bryan, Samuel M. House",Samuel Bryan House,Bryan House,Designated,,2006/12/29 05:00:00+00,L_0071,,200603,0,0
"Anderson, Larz House (Society of the Cincinnati)",Larz Anderson House,Anderson Hse,Designated,,2006/12/29 05:00:00+00,L_0072,,200604,0,0
"Dumbarton House (Nat'l Society of Colonial Dames of America; Bellevue)",Dumbarton House,Dumbarton Hse,Designated,,2006/12/29 05:00:00+00,L_0073,,200605,0,0
"Dodge, Robert House",Robert Dodge House,R Dodge Hse,Designated,,2006/12/29 05:00:00+00,L_0074,,200606,0,0
Walsh-McLean House (Indonesian Embassy),Walsh-McLean House,Walsh-McLean Hse,Designated,,2006/12/29 05:00:00+00,L_0075,,200607,0,0
Saint Luke's Episcopal Church,St Luke's Church,St Luke's Church,Designated,,2006/12/29 05:00:00+00,L_0076,,200608,0,0
Bowie-Sevier House,Bowie-Sevier House,Bowie-Sevier Hse,Designated,,2006/12/29 05:00:00+00,L_0077,,200609,0,0
"Beale, Joseph House",Beale House,Beale House,Designated,,2006/12/29 05:00:00+00,L_0078,,200610,0,0
"Woodward, Robert Simpson, House",Robert Woodward House,Woodward House,Designated,,2006/12/29 05:00:00+00,L_0079,,200611,0,0
"Miller, Benjamin House",Miller House,Miller House,Designated,,2006/12/29 05:00:00+00,L_0080,,200612,0,0
Patterson House (Washington Club),Patterson House,Patterson House,Designated,,2006/12/29 05:00:00+00,L_0081,,200613,0,0
Navy-Peace Monument,Navy-Peace Monument,Navy-Peace,Designated,,2006/12/29 05:00:00+00,L_0368,,200614,0,0
"Thomas, Major General George H., Statue",George Thomas Statue,Thomas,Designated,,2006/12/29 05:00:00+00,L_0369,,200615,0,0
"Farragut, Admiral David, Statue",David Farragut Statue,Farragut,Designated,,2006/12/29 05:00:00+00,L_0370,,200616,0,0
"Hancock, Major General Winfield Scott, Statue",Winfield Scott Hancock Statue,Hancock Statue,Designated,,2006/12/29 05:00:00+00,L_0371,,200617,0,0
"Richards, Zalmon House",Zalmon Richards House,Richards House,Designated,,2006/12/29 05:00:00+00,L_0372,,200618,0,0
Atlantic Building,Atlantic Building,Atlantic Bldg,Designated,,2006/12/29 05:00:00+00,L_0373,,200619,0,0
National Savings and Trust Company (National Safe Deposit Company),National Savings and Trust,Nat Savings & Trust,Designated,,2006/12/29 05:00:00+00,L_0374,,200620,0,0
Saint Mary's Episcopal Church (Saint Mary's Chapel),St Mary's Church,St Mary's Church,Designated,,2006/12/29 05:00:00+00,L_0375,,200621,0,0
Saint Phillip's Baptist Church,St Phillip's Church,St Phillip's Church,Designated,,2006/12/29 05:00:00+00,L_0376,,200622,0,0
"Wesley, John, A.M.E. Zion Church (Saint Andrew's Episcopal Church)",John Wesley A.M.E. Zion Church,Wesley AME Zion,Designated,,2006/12/29 05:00:00+00,L_0377,,200623,0,0
Washington Hebrew Congregation (Greater New Hope Baptist Church),Washington Hebrew Congregation,Wash Hebrew,Designated,,2006/12/29 05:00:00+00,L_0378,,200624,0,0
M Street High School (Perry School),M Street High School,M Street HS,Designated,,2006/12/29 05:00:00+00,L_0379,,200625,0,0
"Pike, Brigadier General Albert, Statue",Albert Pike Statue,Albert Pike,Designated,,2006/12/29 05:00:00+00,L_0380,,200626,0,0
"Logan, General John A., Statue",John Logan Statue,Logan,Designated,,2006/12/29 05:00:00+00,L_0381,,200627,0,0
"Sherman, General William Tecumseh, Memorial",William T Sherman Memorial,Sherman,Designated,,2006/12/29 05:00:00+00,L_0382,,200628,0,0
"McClellan, General George B., Statue",George McClellan Statue,McClellan,Designated,,2006/12/29 05:00:00+00,L_0383,,200629,0,0
"Sheridan, General Phillip H., Statue",Phillip Sheridan Statue,Sheridan,Designated,,2006/12/29 05:00:00+00,L_0384,,200630,0,0
Grand Army of the Republic Memorial (Dr. Benjamin Stephenson Memorial),Grand Army Memorial,Grand Army,Designated,,2006/12/29 05:00:00+00,L_0385,,200631,0,0
"Dupont, Admiral Francis, Memorial Fountain",Dupont Fountain,Dupont Fountain,Designated,,2006/12/29 05:00:00+00,L_0386,,200632,0,0
"Grant, Ulysses S., Memorial",Ulysses S Grant Memorial,Grant,Designated,,2006/12/29 05:00:00+00,L_0387,,200633,0,0
Nuns of the Battlefield Monument,Nuns of the Battlefield,Nuns of Battlefield,Designated,,2006/12/29 05:00:00+00,L_0388,,200634,0,0
"Meade, Major General George Gordon, Monument",George Meade Monument,Meade,Designated,,2006/12/29 05:00:00+00,L_0389,,200635,0,0
Carnegie Endowment for International Peace,Carnegie Endowment for Peace,Peace Endowment,Designated,,2006/12/29 05:00:00+00,L_0390,,200636,0,0
American Peace Society (Charles Glover House),American Peace Society,Peace Society,Designated,,2006/12/29 05:00:00+00,L_0391,,200637,0,0
Corcoran Gallery of Art (and Interiors),Corcoran Gallery of Art,Corcoran Gallery,Designated,,2006/12/29 05:00:00+00,L_0392,,200638,0,0
"Daughters of the American Revolution, Memorial Continental Hall",Daughters of the American Revolution,DAR,Designated,,2006/12/29 05:00:00+00,L_0393,,200639,0,0
Constitution Hall ,Constitution Hall,Constitution Hall,Designated,,2006/12/29 05:00:00+00,L_0394,,200640,0,0
Frelinghuysen University (Edward Goodwin House),Frelinghuysen University,Frelinghuysen U,Designated,,2006/12/29 05:00:00+00,L_0395,,200641,0,0
Children's Country Home (Hospital for Sick Children),Hospital for Sick Children,Hosp for Children,Designated,,2006/12/29 05:00:00+00,L_0396,,200642,0,0
Victor Building ,Victor Building,Victor Bldg,Designated,,2006/12/29 05:00:00+00,L_0397,,200643,0,0
McLachlen Building,McLachlen Building,McLachlen Bldg,Designated,,2006/12/29 05:00:00+00,L_0398,,200644,0,0
Riggs Building (Albee Building),Riggs Building,Riggs Bldg,Designated,,2006/12/29 05:00:00+00,L_0399,,200645,0,0
National Metropolitan Bank,National Metropolitan Bank,Natl Metro Bank,Designated,,2006/12/29 05:00:00+00,L_0400,,200646,0,0
Mercantile Savings Bank,Mercantile Savings Bank,Mercantile Bank,Designated,,2006/12/29 05:00:00+00,L_0401,,200647,0,0
Woodward & Lothrop,Woodward & Lothrop,Woodwd & Lothrop,Designated,,2006/12/29 05:00:00+00,L_0402,,200648,0,0
Garfinckel's (Julius Garfinckel & Co.),Garfinckel's,Garfinckel's,Designated,,2006/12/29 05:00:00+00,L_0403,,200649,0,0
Warner Theatre Building (and Interior),Warner Theatre,Warner Theatre,Designated,,2006/12/29 05:00:00+00,L_0404,,200650,0,0
Asbury Methodist Church,Asbury Methodist Church,Asbury Church,Designated,,2006/12/29 05:00:00+00,L_0405,,200651,0,0
Mount Vernon Place United Methodist Church,Mt Vernon Place Church,Mt Vernon Place Ch,Designated,,2006/12/29 05:00:00+00,L_0406,,200652,0,0
"Washington Cathedral (Cathedral Church of Saint Peter & Saint Paul & Close; National Cathedral)",Washington Cathedral,Cathedral,Designated,,2006/12/29 05:00:00+00,L_0407,,200653,0,0
Metropolitan Club,Metropolitan Club,Metropolitan Club,Designated,,2006/12/29 05:00:00+00,L_0408,,200654,0,0
Army and Navy Club,Army & Navy Club,Army-Navy Club,Designated,,2006/12/29 05:00:00+00,L_0409,,200655,0,0
"Wheatley, Phyllis, YWCA",Phyllis Wheatley YWCA,Wheatley YWCA,Designated,,2006/12/29 05:00:00+00,L_0410,,200656,0,0
"Syphax, William School",William Syphax School,Syphax School,Designated,,2006/12/29 05:00:00+00,L_0411,,200657,0,0
Engine Company No. 20 (Tenleytown Firehouse),Engine Company 20,Engine Co 20,Designated,,2006/12/29 05:00:00+00,L_0412,,200658,0,0
Hotel Washington,Hotel Washington,Hotel Washington,Designated,,2006/12/29 05:00:00+00,L_0413,,200659,0,0
Willard Hotel,Willard Hotel,Willard Hotel,Designated,,2006/12/29 05:00:00+00,L_0414,,200660,0,0
"Plymouth, The",The Plymouth,The Plymouth,Designated,,2006/12/29 05:00:00+00,L_0415,,200661,0,0
"Bachelor Flats, The",Bachelor Flats,Bachelor Flats,Designated,,2006/12/29 05:00:00+00,L_0416,,200662,0,0
"N Street NW, 2225",2225 N Street,2225 N St,Designated,,2006/12/29 05:00:00+00,L_0417,,200663,0,0
Wardman Tower (and Arcade),Wardman Tower,Wardman Tower,Designated,,2006/12/29 05:00:00+00,L_0418,,200664,0,0
"Townsend, Richard H., House (Cosmos Club)",Townsend House,Townsend Hse,Designated,,2006/12/29 05:00:00+00,L_0419,,200665,0,0
"Woodson, Carter G. House",Carter G. Woodson House,Woodson House,Designated,,2006/12/29 05:00:00+00,L_0420,,200666,0,0
"Ellington, Duke, Bridge (Calvert St. Bridge)",Duke Ellington Bridge,Ellington Bridge,Designated,,2006/12/29 05:00:00+00,L_0421,,200667,0,0
Civil War Fort Sites-Fort Greble,Fort Greble,Ft Greble,Designated,,2006/12/29 05:00:00+00,L_0422,,200668,0,0
Civil War Fort Sites-Fort Lincoln,Fort Lincoln,Ft Lincoln,Designated,,2006/12/29 05:00:00+00,L_0423,,200669,0,0
Civil War Fort Sites-Fort Reno,Fort Reno,Ft Reno,Designated,,2006/12/29 05:00:00+00,L_0424,,200670,0,0
"Walter-Reed Army Medical Center, Army Medical Museum and Library",Army Medical Museum & Library,,Designated,,2006/12/29 05:00:00+00,L_0425,,200671,0,0
Glen Hurst,Glen Hurst,Glen Hurst,Designated,,2006/12/29 05:00:00+00,L_0426,,200672,0,0
Convent of Bon Secours,Convent of Bon Secours,Bon Secours,Designated,,2006/12/29 05:00:00+00,L_0427,,200673,0,0
Wetzell-Archbold Farmstead (Anne Archbold Cabin),Wetzell-Archbold Farmstead,Archbold Cabin,Designated,,2006/12/29 05:00:00+00,L_0428,,200674,0,0
"Washington Navy Yard, Second Officer's House (Quarters B)",2nd Officer's House,2nd Officer's Hse,Designated,,2006/12/29 05:00:00+00,L_0429,,200675,0,0
"Woodhull, Maxwell, House (George Washington University)",Woodhull House,Woodhull Hse,Designated,,2006/12/29 05:00:00+00,L_0430,,200676,0,0
Yale Steam Laundry (including Garage and Stable),Yale Steam Laundry,Yale Laundry,Designated,,2006/12/29 05:00:00+00,L_0431,,200677,0,0
United Brick Corporation Brick Complex,United Brick Corporation Kilns,United Brick Kilns,Designated,,2006/12/29 05:00:00+00,L_0432,,200678,0,0
Atlas Theater & Shops,Atlas Theater,Atlas Theater,Designated,,2006/12/29 05:00:00+00,L_0433,,200679,0,0
Hampshire Gardens,Hampshire Gardens,Hampshire Gardns,Designated,,2006/12/29 05:00:00+00,L_0434,,200680,0,0
Cathedral Mansions,Cathedral Mansions,Cathedral Mansions,Designated,,2006/12/29 05:00:00+00,L_0435,,200681,0,0
Clifton Terrace,Clifton Terrace,Clifton Terrace,Designated,,2006/12/29 05:00:00+00,L_0436,,200682,0,0
National Bank of Washington,Natl Bank of Washington,Natl Bank of Wash,Designated,,2006/12/29 05:00:00+00,L_0276,,200683,0,0
Central National Bank (Apex Building),Central National Bank,Central Natl Bank,Designated,,2006/12/29 05:00:00+00,L_0277,,200684,0,0
Senate Office Building (Russell Senate Office Building),Russell Senate Office Bldg,Senate Office Bldg,Designated,,2006/12/29 05:00:00+00,L_0278,,200685,0,0
Van Ness House Stables ,Van Ness House Stables,Van Ness Stables,Designated,,2006/12/29 05:00:00+00,L_0279,,200686,0,0
National Academy of Sciences,Natl Academy of Sciences,Natl Acad Sciences,Designated,,2006/12/29 05:00:00+00,L_0280,,200687,0,0
Federal Reserve Board,Federal Reserve Board,Federal Reserve ,Designated,,2006/12/29 05:00:00+00,L_0281,,200688,0,0
National Archives,National Archives,National Archives,Designated,,2006/12/29 05:00:00+00,L_0282,,200689,0,0
American Institute of Pharmacy (American Pharmacists Association),American Pharmacists Assn,Pharmacists Assn,Designated,,2006/12/29 05:00:00+00,L_0283,,200690,0,0
"Jones, John Paul, Monument",John Paul Jones Monument,John Paul Jones,Designated,,2006/12/29 05:00:00+00,L_0284,,200691,0,0
House Office Building (Cannon House Office Building),Cannon House Office Bldg,House Office Bldg,Designated,,2006/12/29 05:00:00+00,L_0285,,200692,0,0
Eastern Market (and Interiors),Eastern Market,Eastern Market,Designated,,2006/12/29 05:00:00+00,L_0286,,200693,0,0
"Watterston, George House",Watterston House,Watterston House,Designated,,2006/12/29 05:00:00+00,L_0287,,200694,0,0
Bureau of Engraving and Printing,Bureau of Engraving and Printing,Bureau of Engraving,Designated,,2006/12/29 05:00:00+00,L_0288,,200695,0,0
Central Heating Plant,Central Heating Plant,Central Heat Plant,Designated,,2006/12/29 05:00:00+00,L_0289,,200696,0,0
Ebenezer United Methodist Church,Ebenezer Methodist Church,Ebenezer Church,Designated,,2006/12/29 05:00:00+00,L_0290,,200697,0,0
"Maples, The (William Mayne Duncanson House)",The Maples,The Maples,Designated,,2006/12/29 05:00:00+00,L_0291,,200698,0,0
Carbery House,Carbery House,Carbery House,Designated,,2006/12/29 05:00:00+00,L_0292,,200699,0,0
Saint Dominic's Church,St Dominic's Church,St Dominic's Church,Designated,,2006/12/29 05:00:00+00,L_0293,,200700,0,0
Old Naval Hospital (Temporary Home for Veterans of All Wars),Old Naval Hospital,Old Naval Hospital,Designated,,2006/12/29 05:00:00+00,L_0294,,200701,0,0
"Christ Church, Washington Parish (Christ Church Navy Yard)",Christ Church (Navy Yard),Christ Church,Designated,,2006/12/29 05:00:00+00,L_0295,,200702,0,0
Jefferson Memorial,Jefferson Memorial,Jefferson Memorial,Designated,,2006/12/29 05:00:00+00,L_0296,,200703,0,0
Arena Stage,Arena Stage,Arena Stage,Designated,,2006/12/29 05:00:00+00,L_0297,,200704,0,0
"Washington Navy Yard, Tingey House (Commandant's House)",Tingey House,Tingey House,Designated,,2006/12/29 05:00:00+00,L_0298,,200705,0,0
"Washington Navy Yard, Commandant's Office",Commandant's Office,Commandant's Off,Designated,,2006/12/29 05:00:00+00,L_0299,,200706,0,0
"Douglass, Frederick, NHS (Cedar Hill; Van Hook Mansion)",Frederick Douglass House,Douglass House,Designated,,2006/12/29 05:00:00+00,L_0300,,200707,0,0
Army War College (National Defense University),Army War College,War College,Designated,,2006/12/29 05:00:00+00,L_0301,,200708,0,0
Civil War Fort Sites-Battery Ricketts,Battery Ricketts,Battery Ricketts,Designated,,2006/12/29 05:00:00+00,L_0302,,200709,0,0
"Washington Navy Yard, Main Gate (Latrobe Gate)",Main Gate,Main Gate,Designated,,2006/12/29 05:00:00+00,L_0303,,200710,0,0
"Seven Buildings (1911 Pensylvania Avenue, NW)",1911 Pennsylvania Ave,1911 Pennsylvania,Designated,,2006/12/29 05:00:00+00,L_0304,,200711,0,0
Saint John's Church,St John's Church,St John's Church,Designated,,2006/12/29 05:00:00+00,L_0305,,200712,0,0
Ashburton House (St. John's Parish House),Ashburton House,Ashburton Hse,Designated,,2006/12/29 05:00:00+00,L_0306,,200713,0,0
Wheat Row,Wheat Row,Wheat Row,Designated,,2006/12/29 05:00:00+00,L_0307,,200714,0,0
"Lenthall, John Houses",Lenthall Houses,Lenthall Hses,Designated,,2006/12/29 05:00:00+00,L_0308,,200715,0,0
Sweeney-Plowman Houses (Cooper Houses),Sweeney-Plowman Houses,Sweeney Houses,Designated,,2006/12/29 05:00:00+00,L_0309,,200716,0,0
"Cooper, Joseph House",Cooper House,Cooper House,Designated,,2006/12/29 05:00:00+00,L_0310,,200717,0,0
"Law, Thomas, House (Honeymoon House)",Thomas Law House,Thomas Law Hse,Designated,,2006/12/29 05:00:00+00,L_0311,,200718,0,0
Cutts-Madison House (Dolly Madison House),Cutts-Madison House,Madison House,Designated,,2006/12/29 05:00:00+00,L_0312,,200719,0,0
Ringgold-Carroll House (John Marshall House),Ringgold-Carroll House,Ringgold Hse,Designated,,2006/12/29 05:00:00+00,L_0313,,200720,0,0
"Tayloe, Benjamin Ogle House",Benjamin Ogle Tayloe House,Tayloe House,Designated,,2006/12/29 05:00:00+00,L_0314,,200721,0,0
Wisconsin Avenue Bridge (High Street Bridge),Wisconsin Avenue Bridge,Wisc Ave Bridge,Designated,,2006/12/29 05:00:00+00,L_0315,,200722,0,0
Bomford Mill (Pioneer Flour Mills),Bomford Mill,Bomford Mill,Designated,,2006/12/29 05:00:00+00,L_0318,,200723,0,0
Godey Lime Kilns (Washington Lime Kilns),Godey Lime Kilns,Godey Kilns,Designated,,2006/12/29 05:00:00+00,L_0319,,200724,0,0
District of Columbia Paper Manufacturing Company (Paper Mill),Paper Mill,Paper Mill,Designated,,2006/12/29 05:00:00+00,L_0320,,200725,0,0
Vigilant Fire House,Vigilant Fire House,Vigilant Fire House,Designated,,2006/12/29 05:00:00+00,L_0321,,200726,0,0
Colonial Apartments (Lydia English's Female Seminary),Colonial Apartments,Colonial Apts,Designated,,2006/12/29 05:00:00+00,L_0322,,200727,0,0
"Georgetown University, Old North",Old North,Old North,Designated,,2006/12/29 05:00:00+00,L_0323,,200728,0,0
"Georgetown University, Healy Hall",Healy Hall,Healy Hall,Designated,,2006/12/29 05:00:00+00,L_0324,,200729,0,0
"Volta Laboratory (Alexander Graham Bell Laboratory; Bell Carriage House)",Volta Laboratory,Volta Laboratory,Designated,,2006/12/29 05:00:00+00,L_0325,,200730,0,0
Old Holy Trinity Church,Old Holy Trinity Church,Holy Trinity Church,Designated,,2006/12/29 05:00:00+00,L_0326,,200731,0,0
"Saint John's Church, Georgetown",St John's Church,"St John's, G-Town",Designated,,2006/12/29 05:00:00+00,L_0327,,200732,0,0
Godey House,Godey House,Godey Hse,Designated,,2006/12/29 05:00:00+00,L_0330,,200733,0,0
"Beall, Thomas, House (Newton D. Baker House)",Thomas Beall House,Beall House,Designated,,2006/12/29 05:00:00+00,L_0331,,200734,0,0
Halcyon House (Benjamin Stoddert House),Halcyon House,Halcyon Hse,Designated,,2006/12/29 05:00:00+00,L_0332,,200735,0,0
Forrest-Marbury House,Forrest-Marbury House,Forrest-Marbury Hse,Designated,,2006/12/29 05:00:00+00,L_0333,,200736,0,0
"Quality Hill (John Thompson Mason House; Charles Worthington House)",Quality Hill,Quality Hill,Designated,,2006/12/29 05:00:00+00,L_0334,,200737,0,0
Loughborough-Patterson House (Junior League of Washington),Loughborough-Patterson House,Loughborough Hse,Designated,,2006/12/29 05:00:00+00,L_0335,,200738,0,0
Beatty-Stuart House (Hyde House),Beatty-Stuart House,Beatty-Stuart Hse,Designated,,2006/12/29 05:00:00+00,L_0336,,200739,0,0
Christ Church (and rectory),Christ Church,Christ Church,Designated,,2006/12/29 05:00:00+00,L_0337,,200740,0,0
"Davidson, John House",John Davidson House,Davidson House,Designated,,2006/12/29 05:00:00+00,L_0339,,200741,0,0
"Morsell House (John S. Williams House; Decatur-Gunther House)",Morsell House,Morsell Hse,Designated,,2006/12/29 05:00:00+00,L_0340,,200742,0,0
"Dodge, Francis, House (Hammond Court)",Francis Dodge House,F Dodge Hse,Designated,,2006/12/29 05:00:00+00,L_0341,,200743,0,0
Van Ness Mausoleum,Van Ness Mausoleum,Van Ness,Designated,,2006/12/29 05:00:00+00,L_0343,,200744,0,0
Woodley (Maret School),Woodley,Woodley,Designated,,2006/12/29 05:00:00+00,L_0344,,200745,0,0
"Capitol Grounds, Herdic Stations",Herdic Stations,Herdic Station,Designated,,2006/12/29 05:00:00+00,L_0345,,200746,0,0
"Capitol Grounds, West Terraces and Steps",West Terraces and Steps,Terraces,Designated,,2006/12/29 05:00:00+00,L_0346,,200747,0,0
Civil War Fort Sites-Fort Davis,Fort Davis,Ft Davis,Designated,,2006/12/29 05:00:00+00,L_0347,,200748,0,0
Civil War Fort Sites-Fort DeRussy,Fort DeRussy,Ft DeRussy,Designated,,2006/12/29 05:00:00+00,L_0348,,200749,0,0
Civil War Fort Sites-Fort Dupont,Fort Dupont,Ft Dupont,Designated,,2006/12/29 05:00:00+00,L_0349,,200750,0,0
Civil War Fort Sites-Fort Mahan,Fort Mahan,Ft Mahan,Designated,,2006/12/29 05:00:00+00,L_0350,,200751,0,0
Civil War Fort Sites-Fort Stevens,Fort Stevens,Ft Stevens,Designated,,2006/12/29 05:00:00+00,L_0351,,200752,0,0
Civil War Fort Sites-Fort Totten,Fort Totten,Ft Totten,Designated,,2006/12/29 05:00:00+00,L_0352,,200753,0,0
Ford's Theatre NHS-Star Saloon (south addition),Star Saloon (south addition),,Designated,,2006/12/29 05:00:00+00,L_0353,,200754,0,0
Ford's Theatre,Ford's Theatre,Ford's Theatre,Designated,,2006/12/29 05:00:00+00,L_0354,,200755,0,0
"Surratt, Mary House",Mary Surratt House,Surratt House,Designated,,2006/12/29 05:00:00+00,L_0355,,200756,0,0
"Scott, Lt. General Winfield, Statue",Winfield Scott Statue,Scott,Designated,,2006/12/29 05:00:00+00,L_0356,,200757,0,0
"Rawlins, John, Statue",John Rawlins Statue,Rawlins ,Designated,,2006/12/29 05:00:00+00,L_0357,,200758,0,0
Emancipation (Abraham Lincoln) Monument,Emancipation Monument,Emancipation,Designated,,2006/12/29 05:00:00+00,L_0358,,200759,0,0
"McPherson, James B., Statue",James McPherson Statue,McPherson,Designated,,2006/12/29 05:00:00+00,L_0359,,200760,0,0
Saint Patrick's Church,St Patrick's Church,St Patrick's Church,Designated,,2006/12/29 05:00:00+00,L_0360,,200761,0,0
Old Masonic Temple,Old Masonic Temple,Masonic Temple,Designated,,2006/12/29 05:00:00+00,L_0361,,200762,0,0
Michler Place,Michler Place,Michler Place,Designated,,2006/12/29 05:00:00+00,L_0362,,200763,0,0
Old Post Office,Old Post Office,Old Post Office ,Designated,,2006/12/29 05:00:00+00,L_0363,,200764,0,0
"Greene, Nathanael, Statue",Nathanael Greene Statue,Greene,Designated,,2006/12/29 05:00:00+00,L_0365,,200765,0,0
"Franklin, Benjamin, Statue",Benjamin Franklin Statue,Franklin,Designated,,2006/12/29 05:00:00+00,L_0366,,200766,0,0
"Lafayette, Marquis Gilbert de, Monument",Lafayette Monument,Lafayette,Designated,,2006/12/29 05:00:00+00,L_0367,,200767,0,0
Friendship Baptist Church,Friendship Baptist Church,Friendship Baptist,Designated,,2006/12/29 05:00:00+00,L_0527,,200768,0,0
"Old Engine Company No. 11 (Truck Company F; Old Columbia Heights Firehouse)",Old Engine Company 11,Old Engine Co 11,Designated,,2006/12/29 05:00:00+00,L_0528,,200769,0,0
"Red Lion Row (I Street, NW, South Side of 2000 Block)",Red Lion Row,Red Lion Row,Designated,,2006/12/29 05:00:00+00,L_0529,,200770,0,0
"Miller, Joaquin Cabin",Joaquin Miller Cabin,Miller Cabin,Designated,,2006/12/29 05:00:00+00,L_0530,,200771,0,0
Boulder Bridge,Boulder Bridge,,Designated,,2006/12/29 05:00:00+00,L_0532,,200772,0,0
"Wiley, Emily, House",Emily Wiley House,Wiley House,Designated,,2006/12/29 05:00:00+00,L_0533,,200773,0,0
"Blair House (Blair-Lee House; President's Guest House)",Blair House,Blair House,Designated,,2006/12/29 05:00:00+00,L_0534,,200774,0,0
